ChEBI	Origin	Function	Functional detail	Organisms	References
#
# adenine
#
# 1-methyladenine
18083	natural	damage	cytotoxic	Escherichia coli,Rattus norvegicus,Mesocricetus auratus,Mus musculus	24810496,5921185,12226667,985411,728073,6704174
# 2-amino-6-hydroxyaminopurine
78685	synthetic		mutagenic	Escherichia coli, Salmonella typhimurium,Saccharomyces cerevisiae	1870608
# 3-methyladenine
38635	natural	damage	highly cytotoxic	Escherichia coli,Rattus norvegicus,Mesocricetus auratus,Mus musculus	24810496,2702723,985411,728073,6704174
# 4-methyladenine
134106	natural				
# 6-methyladenine (6mA)
28871	natural	epigenetic mark		Escherichia coli,Caenorhabditis elegans,Chlamydomonas reinhardtii,Drosophila melanogaster,Bombyx mori,Arabidopsis thaliana,Danio rerio,Sus scrofa,Thermobacteroides acetoethylicus,Methanobacterium thermoautotrophicum,Methanococcus,thermolithotrophicus,Thermoanaerobacter kivui,Clostridium thermoaceticum,Clostridium thermoautotrophicum,Clostridium thermosaccharolyticum,Desulfotomaculum nigrificans,Bacillus stearothermophilus,Arthrobacter luteus,Bacillus amyloliquefaciens,Bacillus aneurinolyticus,Bacillus caldolyticus,Fusobacterium nucleatum,Haemophilus aegyptius,Haemophilus gallinarum,Haemophilus haemolyticus,Haemophilus influenzae,Haemophilus influenzae,Haemophilus parainfluenzae,Klebsiella pneumoniae,Moraxella bovis,Moraxella nonliquefaciens,Nocardia aerocolonigenes,Proteus vulgaris,Rhodopseudomonas sphaeroides,Serratia marcescens,Streptococcus pneumoniae,Thermus aquaticus,Xanthomonas campestris	25936836,25936839,25936839,25936838,29656930,27713410,30071347,4000939,3029036
# 6-hydroxymethyladenine (6hmA)
142766	natural	epigenetic mark		Escherichia coli,Rattus norvegicus,Homo sapiens	30517733
# 7-methyladenine
28921	natural	damage	mutagenic	Escherichia coli,Rattus norvegicus,Mesocricetus auratus,Mus musculus	24810496,2702723,764991,985411,728073
# 9-methyladenine
40526	synthetic				
# methyladenine - category, create merge of containing members
# 25272	not directly annotated
# N(6),N(6)-dimethyladenine
60281	synthetic and RNA				5671075
# N(6)-hydroxyadenine
78235	synthetic		mutagenic		3944125
# N(6)-carbamoylmethyladenine
102525	natural	hypermodified nucleobase	specific transcriptional roles	Enterobacteria phage Mu	6369315
# 2-aminoadenine
40235	natural	hypermodified nucleobase		Cyanophage S-2L	413053,676082
# 2'-deoxyinosine (28997) (using hypoxanthine, 17368)
17368	natural	damage and hypermodified nucleobase		Thermoanaerobacter acetoethylicus,Homo sapiens,Escherichia coli,Rattus norvegicus	4000939,1557408,8016081
#
# cytosine
#
# 1-methylcytosine
39624	synthetic				 14118268
# 2-O-methylcytosine
# in EtNU-treated cells or rat liver (Table IV-14, Singer & Grunberger, 1983, chapter IV, in Molecular Biology of Mutagens and Carcinogens, 45–96)
# But also in tRNA (e.g. in S. cerevisiae)
70854	natural	damage		Rattus norvegicus	
